song_id,title,artist,genres,mood
1,Midnight Drive,Luna Echo,synthwave electronic,chill night retro
2,Desert Sun,Aarya Ray,indie folk,warm acoustic travel
3,Neon City,Vector 9,edm house,energetic party dance
4,Raindrop Letters,Mira K,lofi hiphop,study focus calm
5,Coastal Breeze,Blue Harbour,pop tropical,happy summer beach
6,Inner Fire,Raghav T,rock alt,power workout intense
7,Moon Garden,Aiko,ambient neo-classical,sleep relax piano
8,City Lights,Neha S,bollywood pop,romance feelgood
9,Echoes of Earth,Gaia,world fusion,organic nature travel
10,Code & Coffee,Dev Beats,lofi chillhop,coding focus mellow
